area1,area2,area3,axislength1,axislength2,axislength3,base1,base2,base3,role1,role2,role3,stimid,orientation1,orientation2,orientation3
0,1999.9999999999998,1999.9999999999998,2000.0120000048705,99.99999999999999,99.99999999999999,142.8580000003479,40,40,28,targ,comp,decoy,similarity000,2,3,2
1,1999.9999999999998,1999.9999999999998,2000.0120000048728,99.99999999999999,99.99999999999999,142.85800000034806,40,40,28,targ,comp,decoy,similarity001,3,0,3
2,1999.9999999999998,2000.0000000000018,2000.0120000048705,99.99999999999999,100.00000000000009,142.8580000003479,40,40,28,targ,comp,decoy,similarity010,3,0,3
3,2000.0000000000018,1999.9999999999998,2000.0120000048705,100.00000000000009,99.99999999999999,142.8580000003479,40,40,28,targ,comp,decoy,similarity100,1,2,1
4,2000,1999.9999999999998,2000.0120000048728,100,99.99999999999999,142.85800000034806,40,40,28,targ,comp,decoy,similarity012,3,0,3
5,1999.9999999999998,1999.9999999999998,1280,99.99999999999999,99.99999999999999,80,40,40,32,targ,comp,decoy,attraction_both000,3,0,3
6,1999.9999999999998,1999.9999999999998,1280.0000000000007,99.99999999999999,99.99999999999999,80.00000000000004,40,40,32,targ,comp,decoy,attraction_both001,0,1,0
7,1999.9999999999998,2000,1280,99.99999999999999,100,80,40,40,32,targ,comp,decoy,attraction_both010,1,2,1
8,1999.9999999999998,2000.0000000000018,1279.9999999999998,99.99999999999999,100.00000000000009,79.99999999999999,40,40,32,targ,comp,decoy,attraction_both100,0,1,0
9,1999.9999999999998,2000.0000000000018,1280.0000000000007,99.99999999999999,100.00000000000009,80.00000000000004,40,40,32,targ,comp,decoy,attraction_both012,2,3,2
10,2880,2000,2000,120,100,100,48,40,40,winner,A,B,singlewinner000,3,0,2
11,2880,1999.9999999999998,2000.0000000000018,120,99.99999999999999,100.00000000000009,48,40,40,winner,A,B,singlewinner001,1,0,0
12,2880.0000000000005,2000,2000.0000000000018,120.00000000000001,100,100.00000000000009,48,40,40,winner,A,B,singlewinner010,3,2,0
13,2880.0000000000005,2000,2000,120.00000000000001,100,100,48,40,40,winner,A,B,singlewinner100,1,2,3
14,2880.0000000000005,1999.9999999999998,2000,120.00000000000001,99.99999999999999,100,48,40,40,winner,A,B,singlewinner012,0,3,3